,id,wellpads_id,longitude_pad,latitude_pad,longitude_well,latitude_well,basin,county,state,block,section,pad_area_km2,operator_name,tst_first_detection_date,tst_permit_date,tst_spud_date,tst_regulator_completion_date,tst_fracfocus_jobstart_date,tst_fracfocus_jobend_date
5049,137740,744455,-102.081345,31.671625,-102.08109413460328,31.67167211232712,Permian,Midland,Texas,40 T4S,26,0.021292701,OVINTIV USA INC,2020-06-04 00:00:00,2020-07-06,2020-08-14,2021-03-17,2021-02-04 00:00:00,2021-03-06 00:00:00
5050,137744,771766,-101.92609,32.019257,-101.92594293715132,32.019592529271456,Permian,Midland,Texas,,,0.03464336,PIONEER NATURAL RES USA INC,2020-07-26 00:00:00,2020-07-01,2020-07-30,2021-01-16,,
5051,137746,729699,-102.04712,31.802326,-102.04713678249324,31.802554767548838,Permian,Midland,Texas,39 T3S,26,0.06562421,ENDEAVOR ENERGY RESOURCES LP,2020-07-14 00:00:00,2020-07-07,2020-08-26,2020-11-11,2020-10-22 00:00:00,2020-10-29 00:00:00
5052,137751,429805,-101.91842,32.0516,-101.9181599558161,32.05149999253108,Permian,Midland,Texas,37 T1S,40,0.0257369,PIONEER NATURAL RES USA INC,2020-08-13 00:00:00,2020-09-08,,2021-03-31,2021-01-21 00:00:00,2021-02-12 00:00:00
5053,137760,107679,-102.10272,31.851328,-102.10274387331238,31.85139780780656,Permian,Midland,Texas,39 T3S,6,0.037910197,PIONEER NATURAL RES USA INC,2018-05-06 00:00:00,2020-07-14,2020-10-01,2020-10-02,2021-10-26 00:00:00,2021-11-04 00:00:00
5054,137763,728987,-101.90141,31.977287,-101.9013600068549,31.977480040116767,Permian,Midland,Texas,,,0.02500129,PIONEER NATURAL RES USA INC,2020-09-27 00:00:00,2020-07-15,2020-10-07,2021-01-09,,
5055,137766,847178,-101.97565,31.898724,-101.97615221164219,31.898942204511947,Permian,Midland,Texas,38 T2S,34,0.058420286,PIONEER NATURAL RES USA INC,2020-08-08 00:00:00,2020-08-13,2020-08-22,2021-05-12,2021-04-06 00:00:00,2021-04-18 00:00:00
5056,137768,847178,-101.97565,31.898724,-101.975965606473,31.898985305921634,Permian,Midland,Texas,38 T2S,34,0.058420286,PIONEER NATURAL RES USA INC,2020-08-08 00:00:00,2020-08-13,2020-08-25,2021-05-07,2021-04-06 00:00:00,2021-04-18 00:00:00
5057,137769,847178,-101.97565,31.898724,-101.97587230388822,31.89900680662779,Permian,Midland,Texas,38 T2S,34,0.058420286,PIONEER NATURAL RES USA INC,2020-08-08 00:00:00,2020-08-13,2020-08-26,2021-05-08,2021-03-29 00:00:00,2021-04-05 00:00:00
5058,137771,847178,-101.97565,31.898724,-101.97568569871936,31.899049908037146,Permian,Midland,Texas,38 T2S,34,0.058420286,PIONEER NATURAL RES USA INC,2020-08-08 00:00:00,2020-08-19,2020-08-29,2021-05-11,2021-03-29 00:00:00,2021-04-05 00:00:00
5059,137772,711533,-101.830574,31.920368,-101.83113058273308,31.92057249383808,Permian,Midland,Texas,37 T3S,2,0.037449647,CROWNQUEST OPERATING LLC,2020-06-26 00:00:00,2020-09-25,2020-10-05,2021-11-11,2021-09-21 09:49:00,2021-10-04 01:18:00
5060,137775,771762,-102.112366,31.932632,-102.11180528100908,31.933136104399672,Permian,Midland,Texas,39 T2S,17,0.053167272,ENDEAVOR ENERGY RESOURCES LP,2018-05-03 00:00:00,2020-08-25,2020-09-18,2021-01-27,2020-12-09 00:00:00,2021-01-01 00:00:00
5061,137776,771762,-102.112366,31.932632,-102.11188228299537,31.93311810434327,Permian,Midland,Texas,39 T2S,17,0.053167272,ENDEAVOR ENERGY RESOURCES LP,2018-05-03 00:00:00,2020-08-19,2020-09-17,2021-01-27,2020-12-09 00:00:00,2020-12-31 00:00:00
5062,137777,742599,-102.02935,31.809229,-102.02962046947601,31.809511244080777,Permian,Midland,Texas,39 T3S,25,0.028066916,ENDEAVOR ENERGY RESOURCES LP,2019-07-20 00:00:00,2020-07-23,,,,
5063,137782,739110,-102.10847,31.933868,-102.1079601831514,31.93427509984321,Permian,Midland,Texas,39 T2S,17,0.028022114,ENDEAVOR ENERGY RESOURCES LP,2020-08-20 00:00:00,2020-08-19,2020-09-11,2021-02-01,2020-12-03 00:00:00,2021-01-03 00:00:00
5064,137785,742599,-102.02935,31.809229,-102.02985377518908,31.809459244503866,Permian,Midland,Texas,39 T3S,25,0.028066916,ENDEAVOR ENERGY RESOURCES LP,2019-07-20 00:00:00,2020-08-21,,,,
5065,137793,729038,-101.95697,31.951628,-101.95693431880673,31.9517891555783,Permian,Midland,Texas,38 T2S,18,0.021398703,PIONEER NATURAL RES USA INC,2020-08-23 00:00:00,2020-07-28,2020-08-27,2021-02-02,2020-12-22 00:00:00,2021-01-16 00:00:00
5066,137795,729038,-101.95697,31.951628,-101.95677861461408,31.951824356649922,Permian,Midland,Texas,38 T2S,18,0.021398703,PIONEER NATURAL RES USA INC,2020-08-23 00:00:00,2020-07-28,2020-08-30,2021-02-02,2020-12-22 00:00:00,2021-01-16 00:00:00
5067,137808,268758,-102.02204,31.984064,-102.02197207616885,31.983925365529966,Permian,Midland,Texas,38 T2S,5,0.04442038,ENDEAVOR ENERGY RESOURCES LP,2019-11-02 00:00:00,2020-08-11,2020-09-04,2021-03-30,2021-01-04 00:00:00,2021-01-21 00:00:00
5068,137818,738181,-101.940384,32.046448,-101.94004998777994,32.04646998875409,Permian,Midland,Texas,37 T1S,42,0.015288148,PIONEER NATURAL RES USA INC,2019-04-28 00:00:00,2020-09-04,2020-10-09,2021-04-27,2021-04-01 00:00:00,2021-04-16 00:00:00
5069,137832,783002,-102.001366,31.895605,-102.00135622204705,31.895954639026012,Permian,Midland,Texas,38 T2S,36,0.0296498,PIONEER NATURAL RES USA INC,2018-05-03 00:00:00,2020-09-17,2021-03-28,2021-09-13,2021-07-31 00:00:00,2021-08-20 00:00:00
5070,137838,729349,-102.08944,31.80136,-102.0895659554761,31.80134731562161,Permian,Midland,Texas,39 T3S,28,0.0788374,ENDEAVOR ENERGY RESOURCES LP,2018-05-11 00:00:00,2020-09-21,2020-11-20,2021-06-17,2021-04-13 00:00:00,2021-05-14 00:00:00
5071,137841,714544,-102.02765,31.904076,-102.02810597394841,31.904240311923704,Permian,Midland,Texas,39 T2S,37,0.04594927,PIONEER NATURAL RES USA INC,2021-02-24 00:00:00,2020-09-23,2021-03-09,2021-09-02,2021-07-28 00:00:00,2021-08-14 00:00:00
5072,137847,449360,-101.953354,31.907217,-101.95324799480746,31.907441983314637,Permian,Midland,Texas,38 T2S,33,0.05004806,PIONEER NATURAL RES USA INC,2020-08-28 00:00:00,2020-10-23,2021-03-07,2021-10-05,2021-08-29 00:00:00,2021-09-15 00:00:00
5073,137850,449360,-101.953354,31.907217,-101.95287438452453,31.90752718609518,Permian,Midland,Texas,38 T2S,33,0.05004806,PIONEER NATURAL RES USA INC,2020-08-28 00:00:00,2020-10-23,2021-04-29,2021-10-11,2021-08-29 00:00:00,2021-09-14 00:00:00
5074,137857,728986,-101.812325,31.973745,-101.81250092126379,31.973770911716063,Permian,Midland,Texas,36 T2S,30,0.039279964,PIONEER NATURAL RES USA INC,2020-10-29 00:00:00,2020-10-30,2020-12-09,2021-08-14,2021-06-27 00:00:00,2021-07-11 00:00:00
5075,137869,465851,-101.94905,31.906788,-101.94872306136794,31.906695668304796,Permian,Midland,Texas,38 T2S,33,0.032273855,PIONEER NATURAL RES USA INC,2020-09-17 00:00:00,2020-11-16,2021-07-31,2021-11-03,2021-08-19 00:00:00,2021-09-10 00:00:00
5076,137871,465851,-101.94905,31.906788,-101.94877306360442,31.906855062998392,Permian,Midland,Texas,38 T2S,33,0.032273855,PIONEER NATURAL RES USA INC,2020-09-17 00:00:00,2020-11-16,2021-04-14,2021-10-09,2021-08-19 00:00:00,2021-09-10 00:00:00
5077,137873,540119,-101.81935,31.86499,-101.81942696933149,31.864999963224157,Permian,Midland,Texas,37 T3S,23,0.018893076,CROWNQUEST OPERATING LLC,2020-12-08 00:00:00,2020-10-15,2021-02-05,,,
5078,137876,797336,-102.12688,31.733671,-102.12702532416225,31.733505360239143,Permian,Midland,Texas,40 T3S,38,0.043050565,OVINTIV USA INC,2018-05-06 00:00:00,2020-10-19,2020-11-02,2021-03-11,2021-01-31 00:00:00,2021-02-27 00:00:00
5079,137878,714235,-102.03899,31.704391,-102.03885034194361,31.704640866131438,Permian,Midland,Texas,39 T4S,20,0.036581736,XTO ENERGY INC,2020-11-03 00:00:00,2020-10-22,2021-08-21,2021-12-16,2021-10-09 10:05:00,2021-10-22 02:50:00
5080,137881,468052,-102.04234,31.705124,-102.04219632597616,31.705019145406563,Permian,Midland,Texas,39 T4S,20,0.031973075,XTO ENERGY INC,2020-10-12 00:00:00,2020-10-22,2021-08-26,2021-12-10,2021-10-01 13:18:00,2021-10-09 04:59:00
