,id,pad_id,longitude_pad,latitude_pad,county,state,operator_principal,parent_operator_co,company_type,pad_status,tst_first_detection_date
6333,186956,9tz2yr42,-102.026596,32.51407,Martin,Texas,ENDEAVOR ENERGY RESOURCES L.P.,,,no permit,2019-03-24 00:00:00.000
6334,714433,9tzg96vq,-101.53915,32.975266,Garza,Texas,URBAN OIL AND GAS GROUP LLC,URBAN OIL AND GAS GROUP,Private,no permit,2019-01-03 00:00:00.000
6335,786460,9tx53e0r,-102.58997,31.526497,Crane,Texas,"BLACKBEARD OPERATING, LLC",NaN,NaN,no permit,
6336,770068,9tw2wpw4,-103.43869,31.067072,Reeves,Texas,COG OPERATING LLC,CONOCOPHILLIPS,Private,no permit,2021-07-09 00:00:00.000
6337,659047,9tygs7yz,-102.81144,32.980873,Yoakum,Texas,OCCIDENTAL PERMIAN LTD,OCCIDENTAL,Private,no permit,2019-01-31 00:00:00.000
6338,667246,9tx4dxjm,-102.53884,31.416344,Crane,Texas,"STRONGHOLD ENERGY II OPER, LLC",NaN,NaN,no permit,2021-01-22 00:00:00.000
6339,811889,9tzr6kj0,-102.198906,33.640152,Hockley,Texas,APACHE CORP,APA,Public,no permit,2021-10-02 00:00:00.000
6340,785846,9tx49juw,-102.60579,31.409721,Crane,Texas,SLANT OPERATING LLC,SLANT ENERGY,Private,no permit,
6341,450896,9tz3n4bf,-102.03995,32.53507,Dawson,Texas,"RELIANCE ENERGY, INC.",,,no permit,2020-09-02 00:00:00.000
6342,781738,9tw6ye20,-103.4251,31.438879,Ward,Texas,OXY USA INC,OCCIDENTAL,Public,no permit,2021-08-08 00:00:00.000
6343,785329,9tx50r2r,-102.64476,31.50602,Crane,Texas,"BLACKBEARD OPERATING, LLC",NaN,NaN,no permit,
6344,852549,9txmp8jk,-101.96756,31.817104,Midland,Texas,PIONEER NATURAL RES USA INC,PIONEER,Public,no permit,2022-04-02 00:00:00.000
6345,785243,9tx5b63b,-102.64269,31.609177,Crane,Texas,COOPER OIL AND GAS LLC,COOPER OIL AND GAS,Private,no permit,
6346,222218,9v2n7spy,-101.08526,30.653036,Crockett,Texas,"EPIC PERMIAN OPERATING, LLC",NaN,NaN,no permit,2018-05-03 00:00:00.000
6347,70983,9twxn1j0,-103.08877,32.173584,Lea,New Mexico,CHEVRON USA INC,CHEVRON,Public,no permit,2018-05-06 00:00:00.000
6348,797125,9ttztwff,-104.168564,32.293385,Eddy,New Mexico,MATADOR PRODUCTION CO,MATADOR,Public,no permit,2021-01-15 00:00:00.000
6349,716238,9ty2p3vz,-103.38427,32.35473,Lea,New Mexico,CAZA OPERATING LLC,CAZA,Private,no permit,2021-05-05 00:00:00.000
6350,843078,9txjt070,-102.4323,31.905746,Ector,Texas,"AGHORN OPERATING, INC.",NaN,NaN,no permit,2021-12-11 00:00:00.000
6351,763259,9tv8s79e,-104.576675,32.451466,Eddy,New Mexico,OXY USA WTP LP,OCCIDENTAL,Public,no permit,2021-07-04 00:00:00.000
6352,845273,9tx7m481,-102.084915,31.52273,Upton,Texas,OVINTIV USA INC,OVINTIV,Public,no permit,2022-01-02 00:00:00.000
6353,211528,9tzj011m,-102.65437,33.229073,Yoakum,Texas,OCCIDENTAL PERMIAN LTD,OCCIDENTAL,Private,no permit,2018-08-04 00:00:00.000
6354,737417,9tz2nk7v,-102.02468,32.3681,Martin,Texas,ENERGEN RESOURCES CORPORATION,,,no permit,2019-01-08 00:00:00.000
6355,716455,9tyuj8s3,-102.76003,33.04985,Yoakum,Texas,OCCIDENTAL PERMIAN LTD,OCCIDENTAL,Private,no permit,2019-04-06 00:00:00.000
6356,737702,9txqey8x,-102.13907,32.11715,Martin,Texas,OCCIDENTAL PERMIAN LTD.,,,no permit,2018-05-03 00:00:00.000
6357,271590,9twzns7w,-102.71708,32.19245,Andrews,Texas,FDL OPERATING LLC,FDL ENERGY,Private,no permit,2018-05-11 00:00:00.000
6358,846583,9tx0np5q,-102.388084,30.977026,Pecos,Texas,OLSEN ENERGY INC,,,no permit,2022-01-15 00:00:00.000
6359,192590,9twgpn63,-102.69702,31.499512,Crane,Texas,"BLACKBEARD OPERATING, LLC",NaN,NaN,no permit,2018-05-21 00:00:00.000
